sample,N_abnormal,N_normal,group,positive_rate
 F2409132A.1_ROI.0,8,20,after,0.285714286
 F2409132A.1_ROI.0,4,12,after,0.25
 F2409132A.1_ROI.2,3,26,after,0.103448276
 F2409132A.1_ROI.3,3,17,after,0.15
F2409132A.268_ROI.0,3,14,after,0.176470588
F2409132A.268_ROI.1,4,13,after,0.235294118
F2409132A.268_ROI.2,8,15,after,0.347826087
F2409132A.268_ROI.3,5,15,after,0.25
F2410254A.1_ROI.0,10,4,before,0.714285714
F2410254A.1_ROI.1,6,3,before,0.666666667
F2410254A.1_ROI.2,10,2,before,0.833333333
F2410254A.1_ROI.3,9,3,before,0.75
F2410254A.299_ROI.0,10,5,before,0.666666667
F2410254A.299_ROI.1,14,3,before,0.823529412
F2410254A.299_ROI.2,6,5,before,0.545454545
F2410254A.299_ROI.3,7,2,before,0.777777778
